Handle                     , Title                           , Body (HTML)                                                                                                                                                                                                   , Vendor , Product Category                                                                           , Type        , Tags                                                      , Published, Option1 Name, Option1 Value, Option2 Name, Option2 Value, Option3 Name, Option3 Value, Variant SKU  , Variant Grams, Variant Inventory Tracker, Variant Inventory Qty, Variant Inventory Policy, Variant Fulfillment Service, Variant Price, Variant Compare At Price, Variant Requires Shipping, Variant Taxable, Variant Barcode, Image Src                                                         , Image Position, Image Alt Text                        , Gift Card, SEO Title                                 , SEO Description                                                                             , Google Shopping / Google Product Category, Google Shopping / Gender, Google Shopping / Age Group, Google Shopping / MPN, Google Shopping / Condition, Google Shopping / Custom Product, Variant Image                                                     , Variant Weight Unit, Variant Tax Code                , Cost per item, Included / United States           , Price / United States                                       , Compare At Price / United States, Included / International, Price / International, Compare At Price / International, Status
multivitamin-complete      , Complete Multivitamin for Adults, "<p>Comprehensive daily multivitamin with 25 essential vitamins and minerals. Supports immune system, energy levels, and overall health. Made with premium ingredients and third-party tested for purity.</p>", GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Multivitamins         , Multivitamin, "Multivitamin, Daily, Immune Support, Energy"             , TRUE     , Size        , 60 Tablets   ,             ,              ,             ,              , MULTI_001_60 ,           120, shopify                  ,                    50, deny                    , manual                     ,         24.99,                    29.99, TRUE                     , TRUE           , 4.11111E+11    , https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500   ,              1, Complete Multivitamin Bottle          , FALSE    , Complete Multivitamin for Adults | GetSupp, Comprehensive daily multivitamin with 25 essential vitamins and minerals for optimal health.,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500   , g                  ,                                 ,            12,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
multivitamin-complete      , Complete Multivitamin for Adults, "<p>Comprehensive daily multivitamin with 25 essential vitamins and minerals. Supports immune system, energy levels, and overall health. Made with premium ingredients and third-party tested for purity.</p>", GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Multivitamins         , Multivitamin, "Multivitamin, Daily, Immune Support, Energy"             , TRUE     , Size        , 120 Tablets  ,             ,              ,             ,              , MULTI_001_120,           200, shopify                  ,                    30, deny                    , manual                     ,         39.99,                    49.99, TRUE                     , TRUE           , 4.11111E+11    , https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500   ,              1, Complete Multivitamin Bottle          , FALSE    , Complete Multivitamin for Adults | GetSupp, Comprehensive daily multivitamin with 25 essential vitamins and minerals for optimal health.,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=500   , g                  ,                                 ,            20,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
omega-3-fish-oil           , Premium Omega-3 Fish Oil        , "<p>High-potency fish oil supplement with 1000mg EPA and DHA per serving. Supports heart health, brain function, and joint mobility. Molecularly distilled for purity and freshness.</p>"                     , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Fish Oil              , Omega-3     , "Omega-3, Fish Oil, Heart Health, Brain Function"         , TRUE     , Size        , 60 Softgels  ,             ,              ,             ,              , OMEGA_001_60 ,           150, shopify                  ,                    40, deny                    , manual                     ,         29.99,                    34.99, TRUE                     , TRUE           , 5.11111E+11    , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,              1, Premium Omega-3 Fish Oil Bottle       , FALSE    , Premium Omega-3 Fish Oil | GetSupp        , High-potency fish oil with 1000mg EPA and DHA for heart and brain health.                   ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500, g                  ,                                 ,            18,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
omega-3-fish-oil           , Premium Omega-3 Fish Oil        , "<p>High-potency fish oil supplement with 1000mg EPA and DHA per serving. Supports heart health, brain function, and joint mobility. Molecularly distilled for purity and freshness.</p>"                     , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Fish Oil              , Omega-3     , "Omega-3, Fish Oil, Heart Health, Brain Function"         , TRUE     , Size        , 120 Softgels ,             ,              ,             ,              , OMEGA_001_120,           280, shopify                  ,                    25, deny                    , manual                     ,         49.99,                    59.99, TRUE                     , TRUE           , 5.11111E+11    , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,              1, Premium Omega-3 Fish Oil Bottle       , FALSE    , Premium Omega-3 Fish Oil | GetSupp        , High-potency fish oil with 1000mg EPA and DHA for heart and brain health.                   ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500, g                  ,                                 ,            30,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
vitamin-d3-5000            , Vitamin D3 5000 IU              , "<p>High-potency Vitamin D3 supplement with 5000 IU per capsule. Essential for bone health, immune function, and mood support. Easy-to-swallow softgels with enhanced absorption.</p>"                        , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Vitamin D             , Vitamin D3  , "Vitamin D3, Bone Health, Immune Support, Mood"           , TRUE     , Size        , 60 Softgels  ,             ,              ,             ,              , VITD_001_60  ,            80, shopify                  ,                    60, deny                    , manual                     ,         19.99,                    24.99, TRUE                     , TRUE           , 6.11111E+11    , https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,              1, Vitamin D3 5000 IU Bottle             , FALSE    , Vitamin D3 5000 IU | GetSupp              , High-potency Vitamin D3 for bone health and immune support.                                 ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500, g                  ,                                 ,            10,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
vitamin-d3-5000            , Vitamin D3 5000 IU              , "<p>High-potency Vitamin D3 supplement with 5000 IU per capsule. Essential for bone health, immune function, and mood support. Easy-to-swallow softgels with enhanced absorption.</p>"                        , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Vitamins > Vitamin D             , Vitamin D3  , "Vitamin D3, Bone Health, Immune Support, Mood"           , TRUE     , Size        , 120 Softgels ,             ,              ,             ,              , VITD_001_120 ,           150, shopify                  ,                    35, deny                    , manual                     ,         34.99,                    39.99, TRUE                     , TRUE           , 6.11111E+11    , https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500,              1, Vitamin D3 5000 IU Bottle             , FALSE    , Vitamin D3 5000 IU | GetSupp              , High-potency Vitamin D3 for bone health and immune support.                                 ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500, g                  ,                                 ,            18,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
ashwagandha-stress-relief  , Ashwagandha Stress Relief       , "<p>Traditional Ayurvedic herb known for its adaptogenic properties. Helps reduce stress, support adrenal health, and promote better sleep. Made with premium KSM-66 Ashwagandha extract.</p>"                , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements               , Ashwagandha , "Ashwagandha, Stress Relief, Ayurvedic, Sleep Support"    , TRUE     , Size        , 60 Capsules  ,             ,              ,             ,              , ASHW_001_60  ,           100, shopify                  ,                    45, deny                    , manual                     ,         22.99,                    27.99, TRUE                     , TRUE           , 7.11111E+11    , https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,              1, Ashwagandha Stress Relief Bottle      , FALSE    , Ashwagandha Stress Relief | GetSupp       , Premium Ayurvedic herb for stress relief and better sleep.                                  ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500, g                  ,                                 ,            12,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
ashwagandha-stress-relief  , Ashwagandha Stress Relief       , "<p>Traditional Ayurvedic herb known for its adaptogenic properties. Helps reduce stress, support adrenal health, and promote better sleep. Made with premium KSM-66 Ashwagandha extract.</p>"                , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Herbal Supplements               , Ashwagandha , "Ashwagandha, Stress Relief, Ayurvedic, Sleep Support"    , TRUE     , Size        , 120 Capsules ,             ,              ,             ,              , ASHW_001_120 ,           180, shopify                  ,                    25, deny                    , manual                     ,         39.99,                    44.99, TRUE                     , TRUE           , 7.11111E+11    , https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500,              1, Ashwagandha Stress Relief Bottle      , FALSE    , Ashwagandha Stress Relief | GetSupp       , Premium Ayurvedic herb for stress relief and better sleep.                                  ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?w=500, g                  ,                                 ,            20,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
whey-protein-vanilla       , Premium Whey Protein - Vanilla  , <p>High-quality whey protein isolate with 25g protein per serving. Perfect for post-workout recovery and muscle building. Made with natural vanilla flavor and no artificial sweeteners.</p>                  , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Sports Nutrition > Protein Powder, Whey Protein, "Whey Protein, Muscle Building, Post-Workout, Vanilla"    , TRUE     , Size        , 2 lbs        ,             ,              ,             ,              , WHEY_001_2LB ,          1000, shopify                  ,                    20, deny                    , manual                     ,         49.99,                    59.99, TRUE                     , TRUE           , 8.11111E+11    , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,              1, Premium Whey Protein Vanilla          , FALSE    , Premium Whey Protein Vanilla | GetSupp    , High-quality whey protein isolate for muscle building and recovery.                         ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500, g                  ,                                 ,            25,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
whey-protein-vanilla       , Premium Whey Protein - Vanilla  , <p>High-quality whey protein isolate with 25g protein per serving. Perfect for post-workout recovery and muscle building. Made with natural vanilla flavor and no artificial sweeteners.</p>                  , GetSupp, Health & Personal Care > Vitamins & Dietary Supplements > Sports Nutrition > Protein Powder, Whey Protein, "Whey Protein, Muscle Building, Post-Workout, Vanilla"    , TRUE     , Size        , 5 lbs        ,             ,              ,             ,              , WHEY_001_5LB ,          2400, shopify                  ,                    15, deny                    , manual                     ,         89.99,                   109.99, TRUE                     , TRUE           , 8.11111E+11    , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,              1, Premium Whey Protein Vanilla          , FALSE    , Premium Whey Protein Vanilla | GetSupp    , High-quality whey protein isolate for muscle building and recovery.                         ,                                       376, unisex                  , adult                      ,                      , new                        , TRUE                            , https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500, g                  ,                                 ,            45,                                    ,                                                             ,                                 ,                         ,                      ,                                 , ACTIVE
